date,open,high,low,close,volume
2025-01-01 09:15:00+05:30,23637.65,23681.7,23633.35,23649.55,0
2025-01-01 09:16:00+05:30,23649.8,23649.8,23607.05,23644.1,0
2025-01-01 09:17:00+05:30,23642.9,23666.65,23642.9,23655.9,0
2025-01-01 09:18:00+05:30,23656.8,23672.35,23654.2,23672.2,0
2025-01-01 09:19:00+05:30,23671.7,23683.6,23661.4,23675.65,0
2025-01-01 09:20:00+05:30,23673.1,23678.75,23660.85,23660.85,0
2025-01-01 09:21:00+05:30,23660.95,23661.6,23634.3,23635.55,0
2025-01-01 09:22:00+05:30,23634.8,23653.5,23634.7,23651.45,0
2025-01-01 09:23:00+05:30,23651.95,23652.6,23637.9,23641.75,0
2025-01-01 09:24:00+05:30,23640.0,23640.0,23627.35,23629.65,0
2025-01-01 09:25:00+05:30,23629.9,23637.8,23625.4,23635.15,0
2025-01-01 09:26:00+05:30,23633.1,23640.15,23631.95,23633.75,0
2025-01-01 09:27:00+05:30,23632.95,23644.05,23632.2,23632.35,0
2025-01-01 09:28:00+05:30,23632.8,23635.3,23626.45,23634.4,0
2025-01-01 09:29:00+05:30,23635.15,23643.55,23635.15,23640.85,0
2025-01-01 09:30:00+05:30,23640.75,23649.95,23636.35,23645.2,0
2025-01-01 09:31:00+05:30,23645.15,23650.05,23642.55,23645.6,0
2025-01-01 09:32:00+05:30,23644.55,23644.55,23612.3,23613.75,0
2025-01-01 09:33:00+05:30,23613.35,23623.05,23611.5,23618.2,0
2025-01-01 09:34:00+05:30,23618.75,23622.95,23610.55,23617.0,0
2025-01-01 09:35:00+05:30,23617.55,23620.45,23614.35,23615.35,0
2025-01-01 09:36:00+05:30,23614.45,23622.25,23614.45,23622.05,0
2025-01-01 09:37:00+05:30,23621.05,23629.15,23613.3,23618.55,0
2025-01-01 09:38:00+05:30,23618.9,23624.1,23617.25,23622.95,0
2025-01-01 09:39:00+05:30,23623.55,23633.7,23621.85,23629.0,0
2025-01-01 09:40:00+05:30,23628.65,23631.65,23618.0,23621.35,0
2025-01-01 09:41:00+05:30,23620.7,23624.75,23617.2,23624.3,0
2025-01-01 09:42:00+05:30,23625.7,23632.5,23602.7,23602.7,0
2025-01-01 09:43:00+05:30,23604.95,23608.55,23598.4,23602.6,0
2025-01-01 09:44:00+05:30,23603.6,23610.6,23600.75,23610.6,0
2025-01-01 09:45:00+05:30,23609.35,23609.35,23590.25,23594.0,0
2025-01-01 09:46:00+05:30,23593.85,23594.3,23576.2,23579.7,0
2025-01-01 09:47:00+05:30,23579.7,23582.3,23573.3,23580.45,0
2025-01-01 09:48:00+05:30,23579.9,23584.4,23565.7,23576.0,0
2025-01-01 09:49:00+05:30,23576.35,23576.6,23566.6,23570.65,0
2025-01-01 09:50:00+05:30,23571.45,23577.4,23564.3,23573.5,0
2025-01-01 09:51:00+05:30,23571.5,23580.85,23569.0,23576.3,0
2025-01-01 09:52:00+05:30,23576.4,23578.85,23570.2,23571.3,0
2025-01-01 09:53:00+05:30,23571.8,23574.15,23568.9,23572.2,0
2025-01-01 09:54:00+05:30,23572.7,23578.85,23568.6,23568.7,0
2025-01-01 09:55:00+05:30,23568.7,23577.15,23562.8,23574.8,0
2025-01-01 09:56:00+05:30,23573.8,23589.45,23573.65,23582.55,0
2025-01-01 09:57:00+05:30,23583.7,23593.1,23579.75,23590.7,0
2025-01-01 09:58:00+05:30,23590.15,23598.4,23588.45,23596.7,0
2025-01-01 09:59:00+05:30,23595.6,23597.85,23588.05,23592.05,0
2025-01-01 10:00:00+05:30,23591.7,23606.65,23579.8,23606.35,0
2025-01-01 10:01:00+05:30,23605.0,23605.5,23598.6,23601.9,0
2025-01-01 10:02:00+05:30,23601.7,23602.1,23591.25,23598.8,0
2025-01-01 10:03:00+05:30,23598.0,23598.0,23585.8,23587.25,0
2025-01-01 10:04:00+05:30,23586.9,23586.9,23576.75,23578.8,0
2025-01-01 10:05:00+05:30,23578.4,23584.5,23576.55,23584.15,0
2025-01-01 10:06:00+05:30,23583.5,23596.35,23582.25,23591.45,0
2025-01-01 10:07:00+05:30,23590.1,23596.35,23586.7,23591.35,0
